State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean,NDVI_Mean,Weather_Temp
Gujarat,Dahod,Dahod(Veg. Market),Potato,Potato,FAQ,14/08/2025,1000.0,1500.0,1250.0,22.9194099,74.1342725,,,0.398,19.483333333333334
Gujarat,Dahod,Dahod(Veg. Market),Tomato,Tomato,FAQ,14/08/2025,2000.0,4500.0,3500.0,22.9194099,74.1342725,,,0.244,19.483333333333334
Gujarat,Gandhinagar,Dehgam,Bajra(Pearl Millet/Cumbu),Other,FAQ,14/08/2025,2420.0,2530.0,2475.0,23.2232877,72.6492267,,,0.525,22.558333333333334
Gujarat,Gandhinagar,Dehgam,Castor Seed,Other,FAQ,14/08/2025,6300.0,6350.0,6325.0,23.2232877,72.6492267,,,0.582,22.558333333333334
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,14/08/2025,2690.0,2720.0,2705.0,23.2232877,72.6492267,,,0.326,22.558333333333334
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,14/08/2025,4350.0,4575.0,4462.0,23.2232877,72.6492267,,,0.525,22.558333333333334
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Green Chilli,Other,FAQ,14/08/2025,2000.0,4000.0,2500.0,23.2232877,72.6492267,,,0.53,22.558333333333334
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Ridgeguard(Tori),Other,FAQ,14/08/2025,2000.0,2000.0,2000.0,23.2232877,72.6492267,,,0.522,22.558333333333334
Gujarat,Kachchh,Anjar,Cummin Seed(Jeera),Other,FAQ,14/08/2025,11100.0,18100.0,18100.0,23.583333,70.0,,,0.496,23.370833333333334
Gujarat,Kachchh,Bachau,Castor Seed,Castor seed,FAQ,14/08/2025,6400.0,6435.0,6415.0,23.583333,70.0,,,0.289,
Gujarat,Mehsana,Kadi,Mustard,Mustard,FAQ,14/08/2025,6000.0,6000.0,6000.0,23.6012628,72.3741516,,,0.333,22.929166666666664
Gujarat,Mehsana,Unava,Castor Seed,Other,FAQ,14/08/2025,6500.0,6520.0,6505.0,23.6012628,72.3741516,,,0.477,22.929166666666664
Gujarat,Mehsana,Visnagar,Jowar(Sorghum),Other,FAQ,14/08/2025,1700.0,7000.0,4350.0,23.6012628,72.3741516,,,0.283,22.929166666666664
Gujarat,Morbi,Morbi,Cabbage,Cabbage,FAQ,14/08/2025,1300.0,1700.0,1500.0,22.8003959,70.886232,,,0.247,24.099999999999998
Gujarat,Morbi,Morbi,Tomato,Tomato,FAQ,14/08/2025,3500.0,4500.0,4000.0,22.8003959,70.886232,,,0.399,24.099999999999998
Gujarat,Navsari,Navsari,Capsicum,Capsicum,FAQ,14/08/2025,3000.0,3500.0,3250.0,20.952407,72.9323831,,,0.326,24.0125
Gujarat,Patan,Patan,Bajra(Pearl Millet/Cumbu),Other,FAQ,14/08/2025,1750.0,2785.0,2675.0,23.773753,71.6798581,,,0.414,23.495833333333334
Gujarat,Patan,Patan,Castor Seed,Other,FAQ,14/08/2025,6300.0,6555.0,6475.0,23.773753,71.6798581,,,0.493,23.495833333333334
Gujarat,Patan,Patan,Mustard,Other,FAQ,14/08/2025,6250.0,6550.0,6450.0,23.773753,71.6798581,,,0.548,23.495833333333334
Gujarat,Patan,Patan,Soanf,Other,FAQ,14/08/2025,5255.0,7200.0,7000.0,23.773753,71.6798581,,,0.369,23.495833333333334
Gujarat,Patan,Siddhpur,Bajra(Pearl Millet/Cumbu),Deshi,FAQ,14/08/2025,1625.0,2815.0,2220.0,23.773753,71.6798581,,,0.354,23.495833333333334
Gujarat,Patan,Siddhpur,Jowar(Sorghum),Jowar ( White),FAQ,14/08/2025,2250.0,7005.0,4627.0,23.773753,71.6798581,,,0.359,23.495833333333334
Gujarat,Porbandar,Porbandar,Coriander(Leaves),Coriander,FAQ,14/08/2025,2500.0,3500.0,3000.0,21.602975,69.8538067,,,0.545,25.400000000000002
Gujarat,Porbandar,Porbandar,Ground Nut Seed,Ground Nut Seed,FAQ,14/08/2025,5250.0,5800.0,5525.0,21.602975,69.8538067,,,0.372,25.400000000000002
Gujarat,Porbandar,Porbandar,Mousambi(Sweet Lime),Mousambi,Large,14/08/2025,3000.0,3500.0,3250.0,21.602975,69.8538067,,,0.427,25.400000000000002
Gujarat,Porbandar,Porbandar,Potato,(Red Nanital),FAQ,14/08/2025,1250.0,1750.0,1500.0,21.602975,69.8538067,,,0.578,25.400000000000002
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Brinjal,Brinjal,FAQ,14/08/2025,500.0,1750.0,1125.0,22.3053263,70.8028377,,,0.504,24.0125
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Coriander(Leaves),Coriander,FAQ,14/08/2025,500.0,1500.0,1000.0,22.3053263,70.8028377,,,0.371,24.0125
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Green Chilli,Green Chilly,FAQ,14/08/2025,1000.0,1500.0,1250.0,22.3053263,70.8028377,,,0.573,24.0125
Gujarat,Sabarkantha,Himatnagar,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,14/08/2025,2400.0,2624.0,2500.0,23.8688505,73.013784,,,0.484,20.766666666666666
Gujarat,Sabarkantha,Himatnagar,Maize,Yellow,FAQ,14/08/2025,2300.0,2365.0,2340.0,23.8688505,73.013784,,,0.242,20.766666666666666
Gujarat,Sabarkantha,Himatnagar,Wheat,Sonalika,FAQ,14/08/2025,2705.0,2965.0,2850.0,23.8688505,73.013784,,,0.407,20.766666666666666
