State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Patan,Siddhpur,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,14/08/2025,1625,2815,2220
Gujarat,Patan,Siddhpur,Jowar(Sorghum),"Jowar ( White)",FAQ,14/08/2025,2250,7005,4627
Gujarat,Porbandar,Porbandar,Coriander(Leaves),Coriander,FAQ,14/08/2025,2500,3500,3000
Gujarat,Porbandar,Porbandar,"Ground Nut Seed","Ground Nut Seed",FAQ,14/08/2025,5250,5800,5525
Gujarat,Porbandar,Porbandar,"Mousambi(Sweet Lime)",Mousambi,Large,14/08/2025,3000,3500,3250
Gujarat,Porbandar,Porbandar,Potato,"(Red Nanital)",FAQ,14/08/2025,1250,1750,1500
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Brinjal,Brinjal,FAQ,14/08/2025,500,1750,1125
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Coriander(Leaves),Coriander,FAQ,14/08/2025,500,1500,1000
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)","Green Chilli","Green Chilly",FAQ,14/08/2025,1000,1500,1250
Gujarat,Sabarkantha,Himatnagar,"Bajra(Pearl Millet/Cumbu)",Local,Non-FAQ,14/08/2025,2400,2624,2500
Gujarat,Sabarkantha,Himatnagar,Maize,Yellow,FAQ,14/08/2025,2300,2365,2340
Gujarat,Sabarkantha,Himatnagar,Wheat,Sonalika,FAQ,14/08/2025,2705,2965,2850
Gujarat,Surat,Songadh(Badarpada),"Bhindi(Ladies Finger)",Bhindi,FAQ,14/08/2025,2000,3000,2590
Gujarat,Surat,Surat,Beetroot,Other,FAQ,14/08/2025,1600,2300,1950
Gujarat,Surat,Surat,"Bottle gourd",Other,FAQ,14/08/2025,2500,4000,3250
Gujarat,Surat,Surat,Cabbage,Other,FAQ,14/08/2025,500,1400,950
Gujarat,Surat,Surat,Capsicum,Other,FAQ,14/08/2025,1500,3800,2650
Gujarat,Surat,Surat,Carrot,Other,FAQ,14/08/2025,1500,2500,2000
Gujarat,Surat,Surat,Cauliflower,Other,FAQ,14/08/2025,1500,3000,2250
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,14/08/2025,2000,4000,3000
Gujarat,Surat,Surat,"Elephant Yam (Suran)",Other,FAQ,14/08/2025,4000,5000,4500
Gujarat,Surat,Surat,"Peas cod",Other,FAQ,14/08/2025,8500,10500,9500
Gujarat,Surat,Surat,"Sponge gourd",Other,FAQ,14/08/2025,1000,2000,1500
Gujarat,Surat,Surat,"Turmeric (raw)",Other,FAQ,14/08/2025,5000,16000,10500
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,FAQ,14/08/2025,1000,1500,1250
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,14/08/2025,800,1500,1150
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,14/08/2025,2500,3500,3000
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,FAQ,14/08/2025,3000,5000,4000
Gujarat,Vadodara(Baroda),Padra,Ridgeguard(Tori),Other,FAQ,14/08/2025,1500,2000,1750
Haryana,Ambala,Naraingarh,"Banana - Green",Other,FAQ,14/08/2025,1500,2500,2300
Haryana,Ambala,Naraingarh,Brinjal,Brinjal,FAQ,14/08/2025,500,1500,1000
Haryana,Ambala,Naraingarh,Cauliflower,Cauliflower,FAQ,14/08/2025,2000,4000,3200
Haryana,Ambala,Naraingarh,Colacasia,Other,FAQ,14/08/2025,1000,2500,2000
Haryana,Ambala,Naraingarh,Ginger(Dry),Other,FAQ,14/08/2025,3500,5000,4500
Haryana,Ambala,Naraingarh,Lemon,Other,FAQ,14/08/2025,2500,3500,3000
Haryana,Ambala,Naraingarh,Potato,Potato,FAQ,14/08/2025,600,1000,750
Haryana,Ambala,Naraingarh,Pumpkin,Pumpkin,FAQ,14/08/2025,300,1000,600
Haryana,Fatehabad,Jakhal,Cucumbar(Kheera),Other,FAQ,14/08/2025,1400,1500,1500
Haryana,Gurgaon,Sohna,Brinjal,Brinjal,FAQ,14/08/2025,1400,2300,2000
Haryana,Hissar,Hansi,Apple,Other,Medium,14/08/2025,5000,30000,15000
Haryana,Hissar,Hansi,"Bhindi(Ladies Finger)",Other,FAQ,14/08/2025,2000,2500,2300
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,14/08/2025,2000,3000,2500
Haryana,Hissar,Hansi,Guava,Other,Medium,14/08/2025,2000,3000,2500
Haryana,Hissar,Hansi,"Mousambi(Sweet Lime)",Other,Medium,14/08/2025,2000,4000,3000
Haryana,Hissar,Hansi,Pumpkin,Other,FAQ,14/08/2025,1000,1500,1200
Haryana,Hissar,Hansi,Tomato,Other,Non-FAQ,14/08/2025,5000,6000,5500
Haryana,Jhajar,Jhajjar,Brinjal,Other,FAQ,14/08/2025,1400,1600,1500
Haryana,Jhajar,Jhajjar,Onion,Other,FAQ,14/08/2025,1400,1600,1500
Haryana,Jhajar,Jhajjar,Tomato,Other,FAQ,14/08/2025,6300,6700,6500
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,14/08/2025,4000,6000,5000
Haryana,Jind,Narwana,Potato,Other,FAQ,14/08/2025,1200,1200,1200
Haryana,Kaithal,Pundri,Onion,Other,FAQ,14/08/2025,1200,1300,1250
Haryana,Karnal,Indri,Pomegranate,Other,Medium,14/08/2025,10000,10000,10000
Haryana,Kurukshetra,Pehowa,Onion,Other,FAQ,14/08/2025,2200,2340,2300
Haryana,Kurukshetra,Shahabad,Brinjal,Brinjal,FAQ,14/08/2025,1200,2200,2000
Haryana,Kurukshetra,Shahabad,Capsicum,Capsicum,FAQ,14/08/2025,3500,5000,4000
Haryana,Kurukshetra,Shahabad,Onion,Onion,Non-FAQ,14/08/2025,1625,1800,1700
Haryana,Kurukshetra,Shahabad,Pomegranate,Pomogranate,Medium,14/08/2025,7000,8000,7500
Haryana,Kurukshetra,Shahabad,Pumpkin,Pumpkin,FAQ,14/08/2025,700,1000,800
Haryana,Kurukshetra,Shahabad,Raddish,Raddish,FAQ,14/08/2025,1800,1800,1800
Haryana,Mahendragarh-Narnaul,Narnaul,Brinjal,Brinjal,FAQ,14/08/2025,1000,2500,2000
Haryana,Mahendragarh-Narnaul,Narnaul,Cabbage,Cabbage,FAQ,14/08/2025,2000,2500,2500
Haryana,Mahendragarh-Narnaul,Narnaul,"Green Chilli","Green Chilly",FAQ,14/08/2025,3000,5000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,Guava,Guava,Medium,14/08/2025,1500,2500,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Lemon,Lemon,FAQ,14/08/2025,3000,4000,3500
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,Non-FAQ,14/08/2025,1000,1000,1000
Haryana,Panipat,Panipat,Brinjal,"Arkasheela Mattigulla",FAQ,14/08/2025,800,1600,1200
Haryana,Panipat,Panipat,Onion,Other,FAQ,14/08/2025,600,1800,1200
Haryana,Panipat,Panipat,Raddish,Other,FAQ,14/08/2025,1000,1500,1250
Haryana,Panipat,Samalkha,"Bhindi(Ladies Finger)",Bhindi,FAQ,14/08/2025,1500,1500,1500
Haryana,Panipat,Samalkha,Brinjal,Brinjal,FAQ,14/08/2025,1000,1000,1000
Haryana,Panipat,Samalkha,Capsicum,Capsicum,FAQ,14/08/2025,4000,4000,4000
Haryana,Rohtak,Meham,Banana,Other,Medium,14/08/2025,1600,1600,1600
Haryana,Sonipat,Ganaur,"Bottle gourd","Bottle Gourd",FAQ,14/08/2025,1800,2000,1800
Haryana,Sonipat,Ganaur,Garlic,Average,FAQ,14/08/2025,5500,6000,5800
Haryana,Sonipat,Ganaur,Spinach,Spinach,FAQ,14/08/2025,1800,2000,1800
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,14/08/2025,4000,5000,4500
Haryana,"Yamuna Nagar",Sadhaura,"Bitter gourd","Bitter Gourd",FAQ,14/08/2025,1000,2500,2000
Haryana,"Yamuna Nagar",Sadhaura,Onion,Onion,FAQ,14/08/2025,1700,1900,1800
Haryana,"Yamuna Nagar",Sadhaura,Potato,Other,FAQ,14/08/2025,700,1200,800
"Himachal Pradesh",Bilaspur,Bilaspur,"Bottle gourd",Other,FAQ,14/08/2025,2000,3000,2500
"Himachal Pradesh",Bilaspur,Bilaspur,Cucumbar(Kheera),Other,FAQ,14/08/2025,2000,3500,2500
