State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,lat,lon,NDVI,ndvi_mean
Gujarat,Vadodara(Baroda),Padra,Ridgeguard(Tori),Other,FAQ,14/08/2025,1500.0,2000.0,1750.0,22.3041662,73.2012585,,
Haryana,Ambala,Naraingarh,Banana - Green,Other,FAQ,14/08/2025,1500.0,2500.0,2300.0,30.3843674,76.770421,,
Haryana,Ambala,Naraingarh,Brinjal,Brinjal,FAQ,14/08/2025,500.0,1500.0,1000.0,30.3843674,76.770421,,
Haryana,Ambala,Naraingarh,Cauliflower,Cauliflower,FAQ,14/08/2025,2000.0,4000.0,3200.0,30.3843674,76.770421,,
Haryana,Ambala,Naraingarh,Colacasia,Other,FAQ,14/08/2025,1000.0,2500.0,2000.0,30.3843674,76.770421,,
Haryana,Ambala,Naraingarh,Ginger(Dry),Other,FAQ,14/08/2025,3500.0,5000.0,4500.0,30.3843674,76.770421,,
Haryana,Ambala,Naraingarh,Lemon,Other,FAQ,14/08/2025,2500.0,3500.0,3000.0,30.3843674,76.770421,,
Haryana,Ambala,Naraingarh,Potato,Potato,FAQ,14/08/2025,600.0,1000.0,750.0,30.3843674,76.770421,,
Haryana,Ambala,Naraingarh,Pumpkin,Pumpkin,FAQ,14/08/2025,300.0,1000.0,600.0,30.3843674,76.770421,,
Haryana,Fatehabad,Jakhal,Cucumbar(Kheera),Other,FAQ,14/08/2025,1400.0,1500.0,1500.0,29.5359209,75.5752901,,
Haryana,Gurgaon,Sohna,Brinjal,Brinjal,FAQ,14/08/2025,1400.0,2300.0,2000.0,28.4646148,77.0299194,,
Haryana,Hissar,Hansi,Apple,Other,Medium,14/08/2025,5000.0,30000.0,15000.0,29.9256437,76.5276288,,
Haryana,Hissar,Hansi,Bhindi(Ladies Finger),Other,FAQ,14/08/2025,2000.0,2500.0,2300.0,29.9256437,76.5276288,,
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,14/08/2025,2000.0,3000.0,2500.0,29.9256437,76.5276288,,
Haryana,Hissar,Hansi,Guava,Other,Medium,14/08/2025,2000.0,3000.0,2500.0,29.9256437,76.5276288,,
Haryana,Hissar,Hansi,Mousambi(Sweet Lime),Other,Medium,14/08/2025,2000.0,4000.0,3000.0,29.9256437,76.5276288,,
Haryana,Hissar,Hansi,Pumpkin,Other,FAQ,14/08/2025,1000.0,1500.0,1200.0,29.9256437,76.5276288,,
Haryana,Hissar,Hansi,Tomato,Other,Non-FAQ,14/08/2025,5000.0,6000.0,5500.0,29.9256437,76.5276288,,
Haryana,Jhajar,Jhajjar,Brinjal,Other,FAQ,14/08/2025,1400.0,1600.0,1500.0,29.25,76.33333,,
Haryana,Jhajar,Jhajjar,Onion,Other,FAQ,14/08/2025,1400.0,1600.0,1500.0,29.25,76.33333,,
Haryana,Jhajar,Jhajjar,Tomato,Other,FAQ,14/08/2025,6300.0,6700.0,6500.0,29.25,76.33333,,
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,14/08/2025,4000.0,6000.0,5000.0,29.3152073,76.314082,,
Haryana,Jind,Narwana,Potato,Other,FAQ,14/08/2025,1200.0,1200.0,1200.0,29.3152073,76.314082,,
Haryana,Kaithal,Pundri,Onion,Other,FAQ,14/08/2025,1200.0,1300.0,1250.0,29.7996588,76.3989903,,
Haryana,Karnal,Indri,Pomegranate,Other,Medium,14/08/2025,10000.0,10000.0,10000.0,29.7255766,76.9106924,,
Haryana,Kurukshetra,Pehowa,Onion,Other,FAQ,14/08/2025,2200.0,2340.0,2300.0,29.9693747,76.8482787,,
Haryana,Kurukshetra,Shahabad,Brinjal,Brinjal,FAQ,14/08/2025,1200.0,2200.0,2000.0,29.9693747,76.8482787,,
Haryana,Kurukshetra,Shahabad,Capsicum,Capsicum,FAQ,14/08/2025,3500.0,5000.0,4000.0,29.9693747,76.8482787,,
Haryana,Kurukshetra,Shahabad,Onion,Onion,Non-FAQ,14/08/2025,1625.0,1800.0,1700.0,29.9693747,76.8482787,,
Haryana,Kurukshetra,Shahabad,Pomegranate,Pomogranate,Medium,14/08/2025,7000.0,8000.0,7500.0,29.9693747,76.8482787,,
Haryana,Kurukshetra,Shahabad,Pumpkin,Pumpkin,FAQ,14/08/2025,700.0,1000.0,800.0,29.9693747,76.8482787,,
Haryana,Kurukshetra,Shahabad,Raddish,Raddish,FAQ,14/08/2025,1800.0,1800.0,1800.0,29.9693747,76.8482787,,
Haryana,Mahendragarh-Narnaul,Narnaul,Brinjal,Brinjal,FAQ,14/08/2025,1000.0,2500.0,2000.0,28.0530574,76.1136303,,
Haryana,Mahendragarh-Narnaul,Narnaul,Cabbage,Cabbage,FAQ,14/08/2025,2000.0,2500.0,2500.0,28.0530574,76.1136303,,
Haryana,Mahendragarh-Narnaul,Narnaul,Green Chilli,Green Chilly,FAQ,14/08/2025,3000.0,5000.0,4000.0,28.0530574,76.1136303,,
Haryana,Mahendragarh-Narnaul,Narnaul,Guava,Guava,Medium,14/08/2025,1500.0,2500.0,2500.0,28.0530574,76.1136303,,
Haryana,Mahendragarh-Narnaul,Narnaul,Lemon,Lemon,FAQ,14/08/2025,3000.0,4000.0,3500.0,28.0530574,76.1136303,,
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,Non-FAQ,14/08/2025,1000.0,1000.0,1000.0,28.0530574,76.1136303,,
Haryana,Panipat,Panipat,Brinjal,Arkasheela Mattigulla,FAQ,14/08/2025,800.0,1600.0,1200.0,29.3912753,76.9771675,,
Haryana,Panipat,Panipat,Onion,Other,FAQ,14/08/2025,600.0,1800.0,1200.0,29.3912753,76.9771675,,
Haryana,Panipat,Panipat,Raddish,Other,FAQ,14/08/2025,1000.0,1500.0,1250.0,29.3912753,76.9771675,,
Haryana,Panipat,Samalkha,Bhindi(Ladies Finger),Bhindi,FAQ,14/08/2025,1500.0,1500.0,1500.0,29.3912753,76.9771675,,
Haryana,Panipat,Samalkha,Brinjal,Brinjal,FAQ,14/08/2025,1000.0,1000.0,1000.0,29.3912753,76.9771675,,
Haryana,Panipat,Samalkha,Capsicum,Capsicum,FAQ,14/08/2025,4000.0,4000.0,4000.0,29.3912753,76.9771675,,
Haryana,Rohtak,Meham,Banana,Other,Medium,14/08/2025,1600.0,1600.0,1600.0,28.9010899,76.5801935,,
Haryana,Sonipat,Ganaur,Bottle gourd,Bottle Gourd,FAQ,14/08/2025,1800.0,2000.0,1800.0,28.9953758,77.0233627,,
Haryana,Sonipat,Ganaur,Garlic,Average,FAQ,14/08/2025,5500.0,6000.0,5800.0,28.9953758,77.0233627,,
Haryana,Sonipat,Ganaur,Spinach,Spinach,FAQ,14/08/2025,1800.0,2000.0,1800.0,28.9953758,77.0233627,,
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,14/08/2025,4000.0,5000.0,4500.0,28.9953758,77.0233627,,
Haryana,Yamuna Nagar,Sadhaura,Bitter gourd,Bitter Gourd,FAQ,14/08/2025,1000.0,2500.0,2000.0,30.1389108,77.301064,,
Haryana,Yamuna Nagar,Sadhaura,Onion,Onion,FAQ,14/08/2025,1700.0,1900.0,1800.0,30.1389108,77.301064,,
Haryana,Yamuna Nagar,Sadhaura,Potato,Other,FAQ,14/08/2025,700.0,1200.0,800.0,30.1389108,77.301064,,
Himachal Pradesh,Bilaspur,Bilaspur,Bottle gourd,Other,FAQ,14/08/2025,2000.0,3000.0,2500.0,31.3380959,76.7611631,,
Himachal Pradesh,Bilaspur,Bilaspur,Cucumbar(Kheera),Other,FAQ,14/08/2025,2000.0,3500.0,2500.0,31.3380959,76.7611631,,
Himachal Pradesh,Bilaspur,Bilaspur,Papaya,Other,Small,14/08/2025,4000.0,4500.0,4200.0,31.3380959,76.7611631,,
Himachal Pradesh,Bilaspur,Bilaspur,Pomegranate,Other,Small,14/08/2025,9000.0,18000.0,12000.0,31.3380959,76.7611631,,
Himachal Pradesh,Chamba,Chamba,Capsicum,Other,FAQ,14/08/2025,5000.0,5500.0,5250.0,32.6923316,76.1631552,,
Himachal Pradesh,Chamba,Chamba,Onion,Other,FAQ,14/08/2025,2300.0,2500.0,2400.0,32.6923316,76.1631552,,
Himachal Pradesh,Kangra,Dharamshala,Banana,Other,Medium,14/08/2025,4500.0,5000.0,4750.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Dharamshala,Pomegranate,Other,Large,14/08/2025,11500.0,12000.0,11750.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra,Carrot,Other,FAQ,14/08/2025,2300.0,2500.0,2400.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,14/08/2025,2500.0,2800.0,2700.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra,Pomegranate,Other,Medium,14/08/2025,10000.0,12000.0,11000.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra,Sponge gourd,Other,FAQ,14/08/2025,3200.0,3500.0,3300.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra(Baijnath),Apple,Apple,Small,14/08/2025,2500.0,3500.0,3000.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra(Baijnath),Raddish,Other,FAQ,14/08/2025,2500.0,2700.0,2600.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra(Baijnath),Tomato,Tomato,FAQ,14/08/2025,5500.0,6000.0,5600.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Cucumbar(Kheera),Cucumbar,FAQ,14/08/2025,2400.0,2800.0,2500.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Onion,Other,FAQ,14/08/2025,2000.0,2400.0,2200.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Pear(Marasebu),Other,Medium,14/08/2025,4000.0,5000.0,4500.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Tomato,Deshi,FAQ,14/08/2025,4000.0,5400.0,4800.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Bitter gourd,Other,FAQ,14/08/2025,3800.0,4000.0,3900.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Brinjal,Brinjal,FAQ,14/08/2025,2500.0,3000.0,2700.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,14/08/2025,2800.0,3000.0,2900.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),Other,FAQ,14/08/2025,6000.0,7000.0,6500.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Guava,Other,Medium,14/08/2025,6800.0,7000.0,6900.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Potato,Other,FAQ,14/08/2025,1500.0,2600.0,2200.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Raddish,Raddish,FAQ,14/08/2025,1800.0,2000.0,1900.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Spinach,Spinach,FAQ,14/08/2025,3500.0,4000.0,3700.0,32.0768665,76.2985872,,
Himachal Pradesh,Kangra,Palampur,Sponge gourd,Other,FAQ,14/08/2025,4800.0,5000.0,4900.0,32.0768665,76.2985872,,
Himachal Pradesh,Kullu,Bandrol,Cucumbar(Kheera),Other,FAQ,14/08/2025,1000.0,1800.0,1400.0,31.9578974,77.1089232,,
Himachal Pradesh,Kullu,Bandrol,Pear(Marasebu),Other,Medium,14/08/2025,1000.0,5200.0,3500.0,31.9578974,77.1089232,,
Himachal Pradesh,Kullu,Bandrol,Tomato,Other,FAQ,14/08/2025,1500.0,4200.0,2800.0,31.9578974,77.1089232,,
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Apple,Apple,Medium,14/08/2025,1500.0,6000.0,5000.0,31.9578974,77.1089232,,
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),French Beans (Frasbean),Other,FAQ,14/08/2025,3800.0,4000.0,3900.0,31.9578974,77.1089232,,
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Squash(Chappal Kadoo),Other,FAQ,14/08/2025,500.0,2600.0,2000.0,31.9578974,77.1089232,,
Himachal Pradesh,Mandi,Mandi(Mandi),Apple,Apple,Small,14/08/2025,1300.0,3000.0,2500.0,31.6516617,77.0092542,,
Himachal Pradesh,Mandi,Mandi(Mandi),Cabbage,Cabbage,FAQ,14/08/2025,1000.0,2500.0,1500.0,31.6516617,77.0092542,,
Himachal Pradesh,Mandi,Mandi(Mandi),Cauliflower,Cauliflower,FAQ,14/08/2025,3000.0,4500.0,4000.0,31.6516617,77.0092542,,
Himachal Pradesh,Mandi,Mandi(Mandi),Mango,Other,Medium,14/08/2025,10000.0,15000.0,12500.0,31.6516617,77.0092542,,
Himachal Pradesh,Mandi,Mandi(Mandi),Pear(Marasebu),Pears,Medium,14/08/2025,6000.0,10000.0,7000.0,31.6516617,77.0092542,,
Himachal Pradesh,Mandi,Mandi(Mandi),Potato,Potato,FAQ,14/08/2025,1200.0,2500.0,2000.0,31.6516617,77.0092542,,
Himachal Pradesh,Mandi,Mandi(Mandi),Sponge gourd,Sponge gourd,FAQ,14/08/2025,1800.0,3000.0,2500.0,31.6516617,77.0092542,,
Himachal Pradesh,Mandi,Mandi(Mandi),Tomato,Tomato,FAQ,14/08/2025,3000.0,5000.0,4000.0,31.6516617,77.0092542,,
Himachal Pradesh,Shimla,Rohroo,Apple,Apple,Large,14/08/2025,1500.0,10000.0,5000.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Rohroo,Capsicum,Capsicum,FAQ,14/08/2025,3000.0,4000.0,3500.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Rohroo,Carrot,Carrot,FAQ,14/08/2025,4000.0,4500.0,4200.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Rohroo,Papaya,Other,Large,14/08/2025,4800.0,5200.0,5000.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Bhindi(Ladies Finger),Bhindi,FAQ,14/08/2025,4000.0,4500.0,4200.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Cucumbar(Kheera),Cucumbar,FAQ,14/08/2025,6000.0,6500.0,6200.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Mango,Other,Medium,14/08/2025,3000.0,4000.0,3500.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Pomegranate,Other,Medium,14/08/2025,8000.0,8500.0,8200.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Shimla and Kinnaur(Rampur),Tomato,Tomato,FAQ,14/08/2025,7000.0,7500.0,7200.0,31.1041526,77.1709729,,
Himachal Pradesh,Shimla,Shimla and Kinnaur(Theog),Cabbage,Other,FAQ,14/08/2025,1000.0,1400.0,1000.0,31.1041526,77.1709729,,
